Order ID,Order Date,Ship Date,Customer ID,Region,Segment,Category,Sub-Category,Quantity,Unit Price,Sales,Discount,Profit,Year,Month,Ship Delay Days,Profit Margin %
ORD100000,01-04-2020,05-04-2020,CUST1466,West,Consumer,Office Supplies,Pens,7,75.17,526.19,0.2,-3.84,2020,01-04-2020,4,-0.729774416
ORD100001,24-02-2020,24-02-2020,CUST1257,South,Consumer,Technology,Phones,8,61.22,489.76,0,95.24,2020,01-02-2020,0,19.44625939
ORD100002,14-06-2021,15-06-2021,CUST1459,West,Corporate,Office Supplies,Binders,6,85.56,513.36,0.2,-3.02,2021,01-06-2021,1,-0.588281128
ORD100003,15-09-2023,15-09-2023,CUST1187,East,Corporate,Office Supplies,Pens,3,17.7,53.1,0,6.55,2023,01-09-2023,0,12.33521657
ORD100004,28-09-2023,02-10-2023,CUST1088,West,Home Office,Office Supplies,Paper,2,6.39,12.78,0.05,1.32,2023,01-09-2023,4,10.3286385
ORD100005,23-02-2020,25-02-2020,CUST1427,Central,Corporate,Office Supplies,Binders,8,44.9,359.2,0.15,16.88,2020,01-02-2020,2,4.699331849
ORD100006,19-12-2021,22-12-2021,CUST1190,East,Home Office,Furniture,Furnishings,2,38.75,77.5,0.1,-2.86,2021,01-12-2021,3,-3.690322581
ORD100007,19-11-2019,21-11-2019,CUST1189,West,Corporate,Technology,Copiers,8,98.93,791.44,0,154.99,2019,01-11-2019,2,19.58329122
ORD100008,22-07-2021,27-07-2021,CUST1300,West,Home Office,Technology,Phones,1,78.26,78.26,0.1,12.33,2021,01-07-2021,5,15.75517506
ORD100009,12-02-2022,14-02-2022,CUST1498,West,Consumer,Technology,Copiers,1,117.22,117.22,0,20.06,2022,01-02-2022,2,17.11312063
ORD100010,29-12-2021,04-01-2022,CUST1406,West,Consumer,Technology,Phones,8,118,944,0,180.17,2021,01-12-2021,6,19.08580508
ORD100011,31-10-2020,04-11-2020,CUST1004,West,Corporate,Technology,Copiers,7,78.57,549.99,0,102.17,2020,01-10-2020,4,18.57670139
ORD100012,27-07-2021,29-07-2021,CUST1460,South,Consumer,Furniture,Bookcases,3,33.48,100.44,0,9.53,2021,01-07-2021,2,9.488251693
ORD100013,12-07-2022,15-07-2022,CUST1236,South,Home Office,Office Supplies,Labels,4,17.43,69.72,0.2,-3.04,2022,01-07-2022,3,-4.360298336
